Sample_no,Date,Week,GrowthLength,StemSize,FloweringScore
0,2022-03-30,30,208.0,6.9,16.67
1,2022-03-30,30,172.0,6.8,17.33
2,2022-03-30,30,150.0,9.3,16.0
3,2022-03-30,30,121.0,5.9,16.2
4,2022-04-06,31,175.0,5.8,17.4
5,2022-04-06,31,155.0,5.3,18.17
6,2022-04-06,31,195.0,8.2,17.0
7,2022-04-06,31,165.0,10.5,17.0
8,2022-04-13,32,125.0,4.2,18.25
10,2022-04-13,32,198.0,6.5,17.6
11,2022-04-13,32,141.0,9.2,17.8
13,2017-03-12,30,230.0,8.2,6.1
14,2017-03-12,30,250.0,12.8,7.4
15,2017-03-12,30,200.0,10.5,6.1
16,2017-03-19,31,140.0,10.0,7.0
17,2017-03-19,31,150.0,10.5,7.4
18,2017-03-19,31,160.0,13.3,6.7
20,2017-03-26,32,290.0,7.5,8.4
21,2017-03-26,32,180.0,9.0,6.8
22,2017-03-26,32,210.0,9.8,8.7
24,2017-04-30,37,230.0,8.2,6.0
25,2017-04-30,37,250.0,8.7,6.0
26,2017-04-30,37,300.0,8.0,7.0
32,2017-05-14,39,180.0,8.0,6.0
33,2017-05-14,39,170.0,9.2,6.0
34,2017-05-14,39,220.0,3.8,8.0
35,2017-05-14,39,200.0,4.6,7.0
36,2017-03-12,30,230.0,5.7,9.7
37,2017-03-12,30,210.0,4.5,8.4
38,2017-03-12,30,220.0,7.7,6.7
39,2017-03-12,30,240.0,4.5,8.0
41,2017-03-19,31,190.0,7.0,6.0
43,2017-03-19,31,220.0,7.5,7.4
44,2017-03-26,32,190.0,7.2,9.0
45,2017-03-26,32,200.0,7.7,6.7
46,2017-03-26,32,190.0,5.5,6.0
47,2017-03-26,32,200.0,7.5,8.3
48,2017-03-12,32,6700.0,8.34,9.0
49,2017-03-12,32,5200.0,10.89,7.3
50,2017-03-12,32,7300.0,7.96,7.0
51,2017-03-12,32,6800.0,10.52,5.7
52,2017-03-19,33,257.0,7.12,4.7
53,2017-03-19,33,271.0,9.05,4.0
54,2017-03-19,33,258.0,6.97,3.3
55,2017-03-19,33,237.0,7.16,2.7
58,2017-03-26,34,194.0,7.22,0.0
59,2017-03-26,34,236.0,7.86,0.0
60,2017-04-16,37,170.0,4.58,2.0
61,2017-04-16,37,220.0,2.56,2.0
62,2017-04-16,37,220.0,5.87,2.0
63,2017-04-16,37,230.0,4.53,1.6
64,2017-04-23,38,223.0,3.9,2.0
65,2017-04-23,38,203.0,7.86,1.0
66,2017-04-23,38,220.0,7.61,1.0
67,2017-04-23,38,180.0,7.55,2.0
68,2017-04-30,39,200.0,6.21,1.0
69,2017-04-30,39,170.0,7.74,1.6
70,2017-04-30,39,190.0,7.72,2.0
72,2017-03-19,33,120.0,9.0,6.3
73,2017-03-19,33,160.0,10.0,6.3
74,2017-03-19,33,140.0,8.8,7.0
76,2017-03-26,34,340.0,8.0,6.7
77,2017-03-26,34,220.0,8.1,7.1
78,2017-03-26,34,210.0,7.0,7.3
79,2017-03-26,34,220.0,9.6,7.4
80,2019-10-15,10,0.0,5.0,0.2
81,2019-10-15,10,0.0,4.0,0.2
82,2019-10-15,10,0.0,5.0,0.4
83,2019-10-15,10,0.0,6.0,0.2
84,2019-10-22,11,315.0,5.6,1.1
86,2019-10-22,11,280.0,6.1,1.3
87,2019-10-22,11,295.0,9.7,1.3
88,2019-10-29,12,305.0,9.3,3.9
89,2019-10-29,12,352.0,12.0,4.2
90,2019-10-29,12,268.0,8.0,4.4
91,2019-10-29,12,285.0,10.9,4.6
92,2019-11-05,13,272.0,4.8,5.4
93,2019-11-05,13,242.0,4.9,6.5
94,2019-11-05,13,203.0,7.9,6.9
95,2019-11-05,13,250.0,6.2,7.1
98,2019-11-12,14,235.0,5.8,5.1
99,2019-11-12,14,232.0,10.9,5.7
100,2019-11-19,15,151.0,7.4,6.9
102,2019-11-19,15,49.0,10.8,7.2
104,2019-11-26,16,29.0,12.0,6.9
105,2019-11-26,16,31.0,6.8,3.7
106,2019-11-26,16,34.0,8.8,7.2
108,2019-12-03,17,41.0,12.2,0.0
109,2019-12-03,17,35.0,11.3,0.0
112,2019-12-10,18,168.0,10.1,0.0
113,2019-12-10,18,105.0,7.3,0.0
114,2019-12-10,18,143.0,11.0,0.0
115,2019-12-10,18,85.0,7.8,0.0
117,2019-12-17,19,130.0,7.0,0.0
119,2019-12-17,19,73.0,6.7,0.0
120,2019-12-24,20,187.0,10.3,15.5
121,2019-12-24,20,125.0,8.2,12.2
122,2019-12-24,20,153.0,14.2,12.4
123,2019-12-24,20,76.0,8.6,11.3
125,2019-12-31,21,152.0,11.4,13.3
126,2019-12-31,21,253.0,10.4,13.4
127,2019-12-31,21,90.0,7.9,12.5
128,2017-02-12,20,0.0,10.6,5.4
129,2017-02-12,20,0.0,10.9,6.4
130,2017-02-12,20,0.0,8.4,8.8
131,2017-02-12,20,0.0,10.6,7.5
132,2017-02-19,21,180.0,9.5,6.4
133,2017-02-19,21,0.0,11.2,5.7
135,2017-02-19,21,230.0,10.2,7.2
136,2017-02-26,22,80.0,11.4,6.4
138,2017-02-26,22,70.0,10.0,7.7
140,2017-03-05,23,200.0,9.15,7.1
141,2017-03-05,23,160.0,13.8,7.1
142,2017-03-05,23,180.0,10.7,7.4
144,2017-03-12,24,180.0,8.0,8.1
145,2017-03-12,24,160.0,11.6,7.3
146,2017-03-12,24,220.0,8.5,8.0
147,2017-03-12,24,210.0,9.8,7.4
148,2017-03-19,25,190.0,10.8,7.7
150,2017-03-19,25,90.0,9.5,8.6
151,2017-03-19,25,120.0,14.0,7.3
155,2017-04-09,28,250.0,8.2,6.0
156,2017-05-07,32,320.0,6.8,7.0
157,2017-05-07,32,330.0,3.4,8.0
158,2017-05-07,32,330.0,5.2,6.0
160,2017-05-14,33,230.0,5.1,8.0
161,2017-05-14,33,170.0,6.3,7.0
162,2017-05-14,33,240.0,3.6,8.0
163,2017-05-14,33,240.0,8.4,6.0
164,2017-05-21,34,180.0,3.5,8.0
165,2017-05-21,34,160.0,4.0,7.0
166,2017-05-21,34,170.0,6.0,7.0
167,2017-05-21,34,180.0,5.0,7.0
168,2017-05-28,35,0.0,0.0,0.0
169,2017-05-28,35,0.0,0.0,0.0
171,2017-05-28,35,0.0,0.0,0.0
172,2017-10-29,57,990.0,12.0,2.0
175,2017-10-29,57,1080.0,11.0,2.0
177,2017-11-05,58,220.0,12.0,3.0
178,2017-11-05,58,220.0,12.0,3.0
179,2017-11-05,58,270.0,9.0,4.0
180,2017-11-12,59,120.0,11.0,4.0
181,2017-11-12,59,120.0,11.0,4.0
182,2017-11-12,59,110.0,11.0,4.0
183,2017-11-12,59,110.0,13.0,3.0
184,2017-11-19,60,60.0,9.0,5.0
186,2017-11-19,60,60.0,9.0,5.0
187,2017-11-19,60,70.0,7.0,5.0
188,2017-11-26,61,80.0,8.0,6.0
192,2017-12-03,62,30.0,11.0,6.0
194,2017-12-03,62,60.0,9.0,5.0
195,2017-12-03,62,70.0,9.0,6.0
196,2017-12-10,63,40.0,9.0,7.0
197,2017-12-10,63,100.0,10.0,7.0
199,2017-12-10,63,110.0,8.0,7.0
200,2017-12-17,64,70.0,10.0,7.0
202,2017-12-17,64,60.0,12.0,7.0
205,2017-12-24,65,60.0,7.0,8.0
206,2017-12-24,65,40.0,12.0,8.0
208,2017-12-31,66,60.0,12.0,7.0
209,2017-12-31,66,60.0,11.0,8.0
210,2017-12-31,66,40.0,9.0,8.0
211,2017-12-31,66,50.0,10.0,8.0
212,2018-02-04,71,40.0,12.0,8.0
213,2018-02-04,71,70.0,12.0,8.0
214,2018-02-04,71,90.0,12.0,7.0
215,2018-02-04,71,60.0,14.0,8.0
217,2018-02-11,72,40.0,12.0,9.0
218,2018-02-11,72,90.0,10.0,8.0
219,2018-02-11,72,140.0,14.0,7.0
220,2018-10-14,3,600.0,11.0,0.4
221,2018-10-14,3,620.0,11.0,0.4
222,2018-10-14,3,600.0,10.5,0.2
224,2018-10-15,3,600.0,11.0,0.4
226,2018-10-15,3,600.0,10.5,0.2
227,2018-10-15,3,600.0,11.0,0.4
229,2018-10-22,4,200.0,13.0,0.4
230,2018-10-22,4,210.0,12.0,0.6
233,2018-10-29,5,230.0,11.0,0.8
234,2018-10-29,5,230.0,12.0,0.4
235,2018-10-29,5,220.0,12.0,0.4
236,2018-11-05,6,220.0,12.5,0.6
237,2018-11-05,6,210.0,11.0,0.4
239,2018-11-05,6,230.0,14.0,0.2
240,2018-11-12,7,200.0,12.0,0.8
242,2018-11-12,7,230.0,10.0,0.6
243,2018-11-12,7,220.0,9.0,0.4
245,2018-11-19,8,200.0,11.0,3.83
246,2018-11-19,8,210.0,11.0,3.43
248,2018-11-26,9,280.0,11.0,2.0
251,2018-11-26,9,270.0,12.0,2.0
252,2018-12-03,10,170.0,10.0,3.0
253,2018-12-03,10,150.0,8.0,3.6
254,2018-12-03,10,170.0,8.0,4.0
255,2018-12-03,10,160.0,11.0,3.75
257,2018-12-10,11,0.0,9.0,4.33
260,2018-12-17,12,0.0,10.0,2.75
262,2018-12-17,12,0.0,10.0,3.75
263,2018-12-17,12,0.0,11.0,4.4
265,2021-02-07,7,80.0,10.0,2.6
266,2021-02-07,7,130.0,10.0,2.8
271,2021-02-15,8,160.0,10.0,3.2
272,2021-02-22,9,200.0,11.0,3.2
273,2021-02-22,9,180.0,10.0,3.4
274,2021-02-22,9,180.0,10.0,2.8
276,2021-03-01,10,70.0,13.0,2.8
278,2021-03-01,10,80.0,13.0,3.6
279,2021-03-01,10,180.0,13.0,3.8
280,2021-03-08,11,170.0,13.0,2.8
281,2021-03-08,11,110.0,13.0,3.2
282,2021-03-08,11,70.0,13.0,3.2
283,2021-03-08,11,140.0,13.0,2.8
284,2021-03-15,12,120.0,14.0,3.4
285,2021-03-15,12,70.0,13.0,3.6
286,2021-03-15,12,160.0,14.0,3.8
288,2021-03-22,13,180.0,14.0,3.6
291,2021-03-22,13,300.0,14.0,3.6
292,2021-03-29,14,150.0,14.0,3.8
293,2021-03-29,14,180.0,14.0,3.6
294,2021-03-29,14,180.0,14.0,3.8
295,2021-03-29,14,120.0,14.0,3.4
296,2021-04-05,15,150.0,15.0,3.2
297,2021-04-05,15,160.0,15.0,3.2
298,2021-04-05,15,150.0,16.0,3.8
299,2021-04-05,15,160.0,15.0,2.6
300,2021-04-11,16,150.0,17.0,3.8
301,2021-04-11,16,140.0,17.0,3.8
302,2021-04-11,16,150.0,17.0,4.2
303,2021-04-11,16,160.0,17.0,4.2
304,2021-04-26,18,110.0,17.0,3.8
305,2021-04-26,18,100.0,17.0,3.8
306,2021-04-26,18,100.0,17.0,4.2
307,2021-04-26,18,120.0,17.0,4.4
308,2021-05-10,20,100.0,17.0,3.2
309,2021-05-10,20,110.0,17.0,2.8
311,2021-05-10,20,100.0,17.0,3.2
312,2021-12-10,1,0.0,13.48,1.15
313,2021-12-10,1,880.0,13.51,1.0
314,2021-12-10,1,930.0,11.31,1.0
315,2021-12-10,1,950.0,10.61,1.5
316,2021-12-23,3,230.0,15.11,2.5
317,2021-12-23,3,50.0,11.98,2.15
318,2021-12-23,3,65.0,13.21,1.85
319,2021-12-23,3,93.0,14.25,2.5
323,2017-03-12,28,0.0,5.67,4.7
324,2017-03-19,29,495.0,8.89,5.0
325,2017-03-19,29,607.0,8.38,3.0
326,2017-03-19,29,376.0,8.91,5.7
327,2017-03-19,29,447.0,8.66,3.7
328,2017-03-26,30,270.0,7.14,7.7
331,2017-03-26,30,210.0,7.97,6.3
332,2017-04-02,31,50.0,6.62,2.0
333,2017-04-02,31,10.0,9.5,1.0
335,2017-04-02,31,50.0,6.76,1.0
337,2017-04-09,32,45.0,8.21,7.0
338,2017-04-09,32,80.0,8.04,6.0
339,2017-04-09,32,30.0,7.46,7.0
340,2017-04-16,33,0.0,10.43,5.0
342,2017-04-16,33,45.0,8.56,5.0
343,2017-04-16,33,55.0,8.3,6.0
344,2017-04-23,34,130.0,5.5,1.0
346,2017-04-23,34,170.0,5.9,1.0
348,2017-04-30,35,190.0,6.76,1.0
349,2017-04-30,35,130.0,8.4,1.0
350,2017-04-30,35,130.0,8.65,1.0
351,2017-04-30,35,240.0,6.86,1.0
352,2017-05-07,36,190.0,6.12,2.0
353,2017-05-07,36,170.0,7.23,1.6
357,2017-09-10,4,1000.0,10.67,1.0
358,2017-09-10,4,930.0,9.93,1.0
359,2017-09-10,4,840.0,9.27,1.0
360,2017-10-01,7,560.0,8.4,2.6
362,2017-10-01,7,550.0,7.86,2.0
364,2017-10-08,8,240.0,8.72,2.0
366,2017-10-08,8,200.0,8.66,1.0
369,2017-10-15,9,190.0,8.36,1.0
370,2017-10-15,9,80.0,7.34,1.3
373,2017-10-22,10,60.0,6.76,0.8
374,2017-10-22,10,80.0,6.8,1.0
375,2017-10-22,10,100.0,6.49,0.0
376,2017-10-29,11,140.0,7.02,1.0
377,2017-10-29,11,160.0,8.37,1.2
378,2017-10-29,11,180.0,7.12,1.0
379,2017-10-29,11,220.0,8.72,1.0
380,2017-11-05,12,80.0,6.78,1.0
381,2017-11-05,12,90.0,7.2,1.0
383,2017-11-05,12,40.0,6.2,1.0
384,2017-11-12,13,50.0,6.71,1.0
385,2017-11-12,13,40.0,5.75,1.0
386,2017-11-12,13,70.0,6.37,1.0
387,2017-11-12,13,60.0,6.42,2.0
388,2017-11-19,14,80.0,6.36,1.4
389,2017-11-19,14,77.0,5.4,1.2
390,2017-11-19,14,70.0,4.92,1.4
392,2017-11-26,15,90.0,4.86,2.0
393,2017-11-26,15,80.0,5.77,2.0
394,2017-11-26,15,70.0,5.56,1.2
395,2017-11-26,15,67.0,4.84,1.8
397,2017-12-03,16,80.0,6.03,1.4
398,2017-12-03,16,40.0,6.66,2.0
400,2017-12-10,17,70.0,5.49,2.0
403,2017-12-10,17,50.0,4.05,2.2
404,2017-12-17,18,30.0,5.95,1.4
405,2017-12-17,18,50.0,6.64,1.0
406,2017-12-17,18,34.0,6.31,2.0
407,2017-12-17,18,28.0,5.65,1.6
411,2017-12-24,19,10.0,5.06,2.0
413,2017-12-24,19,14.0,5.88,2.0
416,2017-12-31,20,70.0,6.35,1.2
419,2017-12-31,20,40.0,5.42,1.2
421,2018-01-07,21,40.0,8.72,2.0
422,2018-01-07,21,27.0,7.78,2.0
423,2018-01-07,21,36.0,8.54,1.2
424,2018-01-14,22,90.0,8.26,1.6
425,2018-01-14,22,70.0,8.43,1.2
426,2018-01-14,22,80.0,8.55,2.0
428,2018-01-21,23,60.0,9.11,2.0
429,2018-01-21,23,100.0,9.66,1.0
432,2018-01-28,24,110.0,9.16,1.0
433,2018-01-28,24,80.0,8.94,1.0
434,2018-01-28,24,80.0,9.95,1.0
435,2018-01-28,24,77.0,10.69,1.0
436,2018-02-04,25,100.0,9.34,2.0
438,2018-02-04,25,60.0,9.05,1.5
439,2018-02-04,25,70.0,9.08,1.0
440,2018-02-11,26,30.0,10.86,1.0
441,2018-02-11,26,47.0,7.96,2.0
442,2018-02-11,26,80.0,10.41,1.0
443,2018-02-11,26,60.0,8.84,1.0
444,2018-02-18,27,110.0,10.35,1.0
445,2018-02-18,27,140.0,9.37,1.0
446,2018-02-18,27,110.0,10.59,1.0
447,2018-02-18,27,117.0,10.05,1.0
448,2018-02-25,28,140.0,10.35,1.0
449,2018-02-25,28,150.0,8.77,1.0
450,2018-02-25,28,130.0,7.26,2.0
452,2018-10-07,2,200.0,6.1,0.0
453,2018-10-07,2,170.0,9.0,0.0
455,2018-10-07,2,190.0,6.1,0.0
457,2018-10-08,3,170.0,9.0,0.0
458,2018-10-08,3,190.0,5.5,0.0
459,2018-10-08,3,190.0,6.1,0.0
460,2018-10-15,4,180.0,5.4,0.0
461,2018-10-15,4,130.0,5.7,0.0
462,2018-10-15,4,180.0,5.4,0.0
464,2018-10-22,5,220.0,6.1,0.0
465,2018-10-22,5,320.0,6.0,0.0
466,2018-10-22,5,280.0,6.2,0.0
468,2018-10-29,6,320.0,10.4,1.0
469,2018-10-29,6,300.0,10.0,1.0
470,2018-10-29,6,320.0,10.1,1.0
471,2018-10-29,6,310.0,11.3,1.0
472,2018-11-05,7,380.0,12.4,1.0
473,2018-11-05,7,380.0,11.5,1.0
474,2018-11-05,7,430.0,12.6,1.0
475,2018-11-05,7,380.0,10.6,1.0
476,2018-11-12,8,260.0,11.6,0.64
477,2018-11-12,8,230.0,9.5,0.56
479,2018-11-12,8,250.0,10.3,0.71
480,2018-11-19,9,260.0,10.9,0.38
481,2018-11-19,9,255.0,10.0,0.38
482,2018-11-19,9,225.0,13.1,0.59
483,2018-11-19,9,240.0,12.5,0.55
484,2018-11-26,10,265.0,9.7,1.5
485,2018-11-26,10,305.0,10.1,2.83
486,2018-11-26,10,270.0,10.5,1.61
488,2018-12-03,11,250.0,10.5,1.55
489,2018-12-03,11,230.0,10.1,2.78
490,2018-12-03,11,230.0,11.1,1.46
492,2018-12-10,12,185.0,8.1,1.54
493,2018-12-10,12,180.0,9.0,2.79
494,2018-12-10,12,210.0,8.9,1.36
495,2018-12-10,12,190.0,8.6,1.41
498,2018-12-17,13,230.0,6.4,3.58
499,2018-12-17,13,225.0,9.7,2.38
500,2018-12-24,14,210.0,7.5,4.73
501,2018-12-24,14,205.0,7.7,4.7
502,2018-12-24,14,200.0,7.3,4.67
503,2018-12-24,14,230.0,8.4,4.77
504,2018-12-31,15,135.0,7.4,4.79
505,2018-12-31,15,140.0,7.4,4.77
506,2018-12-31,15,150.0,7.2,4.62
508,2019-01-07,16,130.0,8.1,4.65
509,2019-01-07,16,185.0,8.0,4.67
510,2019-01-07,16,170.0,7.6,4.25
511,2019-01-07,16,220.0,7.8,5.35
512,2019-01-14,17,0.0,6.6,7.0
513,2019-01-14,17,0.0,7.8,5.7
516,2019-01-21,18,30.0,7.0,6.85
517,2019-01-21,18,40.0,8.4,6.88
518,2019-01-21,18,50.0,7.8,6.5
519,2019-01-21,18,20.0,7.2,6.73
520,2019-02-04,20,195.0,9.0,6.43
521,2019-02-04,20,225.0,7.5,6.56
522,2019-02-04,20,205.0,7.0,7.71
523,2019-02-04,20,235.0,8.4,8.9
524,2019-02-11,21,130.0,6.2,7.38
526,2019-02-11,21,200.0,7.5,9.0
527,2019-02-11,21,215.0,7.9,7.45
528,2019-02-18,22,130.0,7.6,9.0
529,2019-02-18,22,140.0,8.8,8.71
530,2019-02-18,22,205.0,7.7,8.71
531,2019-02-18,22,215.0,8.1,8.35
532,2019-02-25,23,150.0,8.1,8.75
534,2019-02-25,23,210.0,8.7,8.6
535,2019-02-25,23,195.0,8.6,9.6
537,2019-03-04,24,220.0,9.5,8.55
538,2019-03-04,24,230.0,9.1,9.63
539,2019-03-04,24,130.0,7.8,9.43
540,2019-03-11,25,186.0,10.1,9.64
541,2019-03-11,25,180.0,10.2,9.38
543,2019-03-11,25,242.0,7.9,10.45
544,2019-03-18,26,200.0,8.5,10.63
545,2019-03-18,26,201.0,8.0,10.54
547,2019-03-18,26,172.0,7.5,11.67
548,2019-03-25,27,198.0,6.9,11.67
549,2019-03-25,27,230.0,10.8,11.5
550,2019-03-25,27,212.0,9.0,11.5
551,2019-03-25,27,205.0,6.5,12.83
553,2019-04-01,28,203.0,9.7,12.73
554,2019-04-01,28,260.0,8.4,12.7
555,2019-04-01,28,224.0,5.2,13.43
556,2019-04-08,29,197.0,9.6,12.73
557,2019-04-08,29,243.0,8.3,13.8
558,2019-04-08,29,212.0,7.7,13.86
560,2019-04-15,30,247.0,8.1,13.6
561,2019-04-15,30,236.0,7.3,13.47
562,2019-04-15,30,211.0,5.3,13.42
563,2019-04-15,30,217.0,7.1,14.6
566,2017-03-12,16,0.0,9.81,14.0
567,2017-03-12,16,0.0,8.34,11.3
568,2017-03-19,17,358.0,7.46,8.0
570,2017-03-19,17,381.0,8.57,8.0
573,2017-03-26,18,89.0,9.79,26.7
574,2017-03-26,18,263.0,5.64,41.0
576,2017-04-30,23,150.0,3.63,2.4
577,2017-04-30,23,170.0,4.55,2.0
578,2017-04-30,23,80.0,7.76,2.2
579,2017-04-30,23,60.0,9.74,2.8
580,2017-02-26,22,0.0,9.5,5.4
581,2017-02-26,22,0.0,9.4,6.4
582,2017-02-26,22,0.0,10.0,4.7
583,2017-02-26,22,0.0,12.45,5.4
584,2017-03-05,23,180.0,10.5,6.1
586,2017-03-05,23,220.0,11.65,6.7
590,2017-03-12,24,200.0,11.4,5.3
591,2017-03-12,24,180.0,9.9,7.0
594,2017-03-19,25,200.0,11.9,6.3
595,2017-03-19,25,180.0,9.0,8.3
597,2017-03-26,26,160.0,8.4,5.7
598,2017-03-26,26,190.0,9.5,5.7
600,2017-04-02,27,230.0,9.0,5.7
601,2017-04-02,27,200.0,4.8,6.7
602,2017-04-02,27,250.0,9.2,7.0
604,2017-04-09,28,210.0,105.0,6.0
605,2017-04-09,28,220.0,10.9,6.0
606,2017-04-09,28,230.0,9.0,6.0
607,2017-04-09,28,220.0,10.4,6.7
608,2017-04-16,29,250.0,11.8,6.3
609,2017-04-16,29,260.0,12.0,4.3
611,2017-04-16,29,240.0,11.7,7.3
613,2017-04-23,30,160.0,8.5,6.0
614,2017-04-23,30,140.0,9.2,6.3
615,2017-04-23,30,120.0,11.0,7.7
616,2017-04-30,31,220.0,8.5,7.0
617,2017-04-30,31,210.0,3.5,6.0
618,2017-04-30,31,170.0,9.2,6.0
619,2017-04-30,31,200.0,8.0,6.0
620,2017-05-07,32,230.0,6.7,7.0
621,2017-05-07,32,310.0,10.0,7.0
622,2017-05-07,32,300.0,7.3,7.0
623,2017-05-07,32,200.0,10.6,7.0
624,2017-05-14,33,220.0,3.5,7.0
625,2017-05-14,33,180.0,8.0,7.0
626,2017-05-14,33,180.0,5.1,7.0
627,2017-05-14,33,220.0,6.8,7.0
630,2017-05-21,34,0.0,0.0,0.0
631,2017-05-21,34,0.0,0.0,0.0
632,2017-10-29,57,1170.0,13.0,2.0
635,2017-10-29,57,1030.0,14.0,2.0
637,2017-11-05,58,180.0,13.0,3.0
638,2017-11-05,58,240.0,13.0,3.0
640,2017-11-12,59,140.0,10.0,4.0
641,2017-11-12,59,150.0,12.0,4.0
643,2017-11-12,59,180.0,12.0,4.0
644,2017-11-19,60,110.0,13.0,4.0
647,2017-11-19,60,110.0,12.0,5.0
649,2017-11-26,61,70.0,13.0,4.0
653,2017-12-03,62,30.0,11.0,6.0
655,2017-12-03,62,50.0,11.0,6.0
656,2017-12-10,63,50.0,7.0,7.0
657,2017-12-10,63,30.0,10.0,8.0
659,2017-12-10,63,130.0,10.0,7.0
661,2017-12-17,64,70.0,7.0,8.0
662,2017-12-17,64,100.0,10.0,8.0
663,2017-12-17,64,110.0,11.0,8.0
664,2017-12-24,65,90.0,8.0,8.0
665,2017-12-24,65,50.0,10.0,9.0
666,2017-12-24,65,90.0,8.0,9.0
667,2017-12-24,65,60.0,9.0,9.0
668,2017-12-31,66,100.0,11.0,8.0
669,2017-12-31,66,50.0,10.0,8.0
670,2017-12-31,66,20.0,11.0,8.0
672,2018-01-07,67,60.0,9.0,8.0
675,2018-01-07,67,80.0,12.0,9.0
676,2018-01-14,68,50.0,11.0,8.0
677,2018-01-14,68,80.0,10.0,8.0
678,2018-01-14,68,80.0,11.0,8.0
679,2018-01-14,68,70.0,10.0,9.0
680,2018-01-21,69,70.0,11.0,8.0
681,2018-01-21,69,30.0,12.0,8.0
682,2018-01-21,69,40.0,11.0,8.0
684,2018-01-28,70,30.0,9.0,9.0
685,2018-01-28,70,50.0,11.0,8.0
686,2018-01-28,70,40.0,10.0,9.0
687,2018-01-28,70,40.0,12.0,9.0
688,2018-02-04,71,30.0,13.0,8.0
