Sample_no,Date,Week,GrowthLength,StemSize,FloweringScore
692,2018-02-11,72,80.0,12.0,8.0
693,2018-02-11,72,80.0,14.0,9.0
694,2018-02-11,72,90.0,9.0,10.0
695,2018-02-11,72,110.0,12.0,8.0
696,2018-02-18,73,80.0,11.0,8.0
697,2018-02-18,73,40.0,8.0,10.0
698,2018-02-18,73,50.0,8.0,10.0
699,2018-02-18,73,50.0,11.0,9.0
700,2018-02-25,74,50.0,6.0,9.0
701,2018-02-25,74,20.0,11.0,10.0
702,2018-02-25,74,30.0,13.0,9.0
703,2018-02-25,74,30.0,13.0,9.0
704,2018-10-14,2,480.0,9.5,0.2
706,2018-10-14,2,500.0,10.0,0.2
707,2018-10-14,2,600.0,11.0,0.6
708,2018-10-15,2,480.0,9.5,0.2
709,2018-10-15,2,520.0,15.5,0.4
710,2018-10-15,2,500.0,10.0,0.2
711,2018-10-15,2,600.0,11.0,0.6
714,2018-10-22,3,330.0,14.2,0.6
716,2018-10-29,4,290.0,13.0,0.2
717,2018-10-29,4,280.0,12.2,0.6
718,2018-10-29,4,350.0,11.8,0.4
719,2018-10-29,4,310.0,12.0,0.6
720,2018-11-05,5,150.0,11.0,0.8
721,2018-11-05,5,210.0,10.0,0.8
724,2018-11-12,6,280.0,12.0,0.2
726,2018-11-12,6,250.0,13.0,0.4
731,2018-11-19,7,220.0,12.0,4.75
733,2018-11-26,8,180.0,7.0,1.6
734,2018-11-26,8,170.0,8.0,2.0
736,2018-12-03,9,150.0,10.0,4.33
737,2018-12-03,9,100.0,11.0,3.8
738,2018-12-03,9,90.0,9.0,2.57
739,2018-12-03,9,140.0,11.0,5.0
740,2018-12-10,10,160.0,11.0,3.4
742,2018-12-10,10,150.0,10.0,4.5
743,2018-12-10,10,140.0,12.0,4.6
745,2018-12-17,11,120.0,10.0,3.25
746,2018-12-17,11,170.0,11.0,0.67
747,2018-12-17,11,160.0,11.0,0.5
748,2021-01-06,15,126.0,8.9,6.25
749,2021-01-06,15,142.0,6.9,7.2
751,2021-01-06,15,132.0,9.2,6.5
752,2021-02-03,19,225.0,6.5,11.2
753,2021-02-03,19,174.0,6.2,10.6
754,2021-02-03,19,185.0,6.4,10.2
756,2021-02-10,20,231.0,10.2,11.5
758,2021-02-10,20,220.0,10.6,11.6
759,2021-02-10,20,213.0,6.1,11.2
760,2021-03-03,23,177.0,9.2,13.8
761,2021-03-03,23,174.0,8.9,11.8
762,2021-03-03,23,137.0,7.5,12.6
763,2021-03-03,23,212.0,9.9,12.8
764,2021-03-24,26,172.0,6.8,15.5
765,2021-03-24,26,242.0,6.2,14.2
766,2021-03-24,26,203.0,7.1,14.5
767,2021-03-24,26,218.0,7.3,15.0
768,2021-04-07,28,199.0,3.7,17.2
769,2021-04-07,28,165.0,6.7,15.6
770,2021-04-07,28,140.0,6.5,16.0
771,2021-04-07,28,191.0,5.5,16.5
772,2021-04-14,29,167.0,7.9,18.0
773,2021-04-14,29,179.0,4.8,16.6
774,2021-04-14,29,188.0,5.6,16.5
775,2021-04-14,29,158.0,3.5,17.25
776,2021-04-21,30,230.0,6.3,18.6
777,2021-04-21,30,221.0,4.0,17.25
778,2021-04-21,30,207.0,7.4,17.0
780,2021-04-29,31,232.0,5.6,19.4
782,2021-04-29,31,180.0,6.1,18.0
784,2021-06-03,36,40.0,7.3,21.0
785,2021-06-03,36,77.0,5.0,21.2
786,2021-06-03,36,127.0,6.9,19.0
787,2021-06-03,36,56.0,6.2,20.0
788,2021-06-23,39,0.0,9.1,21.0
791,2021-06-23,39,0.0,6.7,20.0
792,2018-10-07,8,2210.0,14.1,4.6
796,2018-10-19,9,270.0,14.5,4.67
797,2018-10-19,9,430.0,12.7,4.75
798,2018-10-19,9,250.0,11.1,4.5
799,2018-10-19,9,350.0,12.3,4.5
800,2018-10-24,10,160.0,9.6,5.75
801,2018-10-24,10,180.0,15.2,4.0
802,2018-10-24,10,190.0,11.9,5.0
803,2018-10-24,10,180.0,8.8,6.0
804,2018-11-01,11,250.0,12.5,5.5
806,2018-11-01,11,340.0,10.5,5.5
807,2018-11-01,11,280.0,9.7,6.71
808,2018-11-08,12,220.0,9.1,6.5
810,2018-11-08,12,220.0,6.9,6.6
813,2018-11-13,13,110.0,7.8,7.0
814,2018-11-13,13,200.0,8.2,6.83
816,2018-11-21,14,210.0,10.9,7.67
817,2018-11-21,14,230.0,9.7,6.4
818,2018-11-21,14,260.0,8.6,7.6
820,2018-11-28,15,220.0,6.4,8.67
821,2018-11-28,15,200.0,7.8,8.0
822,2018-11-28,15,200.0,10.2,7.43
823,2018-11-28,15,230.0,7.2,9.75
824,2018-12-04,16,120.0,7.6,8.5
825,2018-12-04,16,160.0,8.3,8.0
827,2018-12-04,16,70.0,4.7,9.0
828,2018-12-11,17,200.0,8.2,8.67
830,2018-12-11,17,260.0,8.3,8.0
832,2018-12-17,18,160.0,8.3,10.0
833,2018-12-17,18,160.0,8.7,8.6
834,2018-12-17,18,200.0,8.1,9.6
835,2018-12-17,18,130.0,5.5,8.25
837,2018-12-28,19,260.0,7.2,9.0
838,2018-12-28,19,400.0,8.0,10.28
839,2018-12-28,19,200.0,6.3,8.0
840,2019-01-03,20,160.0,9.2,10.75
843,2019-01-03,20,140.0,6.6,9.33
844,2019-01-10,21,180.0,9.2,10.75
845,2019-01-10,21,130.0,10.6,9.57
848,2019-02-21,27,220.0,0.6,14.57
849,2019-02-21,27,240.0,1.0,13.33
850,2019-02-21,27,320.0,1.2,16.42
851,2019-02-21,27,260.0,0.7,14.83
852,2019-02-28,28,210.0,1.0,16.0
853,2019-02-28,28,190.0,0.9,14.5
854,2019-02-28,28,240.0,1.1,18.0
855,2019-02-28,28,230.0,0.6,14.5
856,2019-03-07,29,220.0,0.6,15.25
857,2019-03-07,29,200.0,0.7,15.5
858,2019-03-07,29,260.0,0.9,17.5
859,2019-03-07,29,190.0,0.5,15.5
860,2019-03-14,30,230.0,0.7,16.16
861,2019-03-14,30,220.0,0.8,15.25
862,2019-03-14,30,220.0,0.8,18.4
865,2019-03-21,31,150.0,0.6,15.4
866,2019-03-21,31,200.0,0.6,19.6
867,2019-03-21,31,110.0,0.6,16.4
870,2019-03-29,32,210.0,5.3,19.5
871,2019-03-29,32,170.0,5.4,16.37
873,2019-04-04,33,160.0,7.0,16.6
874,2019-04-04,33,130.0,6.5,19.5
875,2019-04-04,33,140.0,6.1,17.8
876,2019-04-11,34,220.0,5.2,19.33
877,2019-04-11,34,170.0,7.7,17.2
880,2019-04-23,36,360.0,4.6,19.6
881,2019-04-23,36,360.0,5.7,18.6
882,2019-04-23,36,370.0,8.2,22.0
883,2019-04-23,36,260.0,6.2,18.66
885,2019-05-02,37,210.0,6.9,20.0
886,2019-05-02,37,220.0,11.7,22.0
887,2019-05-02,37,170.0,5.1,20.25
888,2018-10-07,16,5300.0,9.0,2.47
889,2018-10-07,16,5160.0,9.1,1.87
890,2018-10-07,16,4950.0,9.0,1.2
891,2018-10-07,16,4900.0,9.7,1.2
892,2018-10-08,17,5300.0,9.0,2.47
893,2018-10-08,17,5160.0,9.1,1.87
894,2018-10-08,17,4950.0,9.0,1.2
895,2018-10-08,17,4900.0,9.7,1.2
897,2018-10-15,18,270.0,7.2,6.55
898,2018-10-15,18,265.0,5.4,5.2
899,2018-10-15,18,330.0,5.0,5.3
900,2018-10-22,19,300.0,6.7,6.5
901,2018-10-22,19,290.0,5.3,7.7
902,2018-10-22,19,270.0,4.5,7.0
903,2018-10-22,19,300.0,7.8,5.7
905,2018-10-29,20,290.0,4.3,8.7
906,2018-10-29,20,220.0,7.2,6.4
907,2018-10-29,20,205.0,7.3,6.9
909,2018-11-05,21,250.0,3.1,8.43
911,2018-11-05,21,290.0,6.1,7.67
912,2018-11-19,23,210.0,7.0,9.59
913,2018-11-19,23,170.0,4.1,9.46
914,2018-11-19,23,180.0,7.3,8.59
915,2018-11-19,23,190.0,7.8,7.44
916,2018-12-03,25,230.0,4.5,10.38
917,2018-12-03,25,220.0,5.7,10.48
918,2018-12-03,25,175.0,8.3,9.32
919,2018-12-03,25,175.0,8.2,9.53
920,2018-12-10,26,190.0,6.3,11.5
922,2018-12-10,26,200.0,5.4,9.33
923,2018-12-10,26,185.0,6.5,9.52
924,2018-12-17,27,0.0,7.1,11.33
925,2018-12-17,27,0.0,5.6,12.67
926,2018-12-17,27,0.0,7.7,10.53
927,2018-12-17,27,0.0,7.9,9.39
928,2018-12-24,28,0.0,7.0,0.0
930,2018-12-24,28,0.0,7.4,0.0
932,2018-12-31,29,0.0,7.5,0.0
933,2018-12-31,29,0.0,6.6,14.0
934,2018-12-31,29,0.0,8.9,0.0
937,2019-01-07,30,0.0,7.4,0.0
938,2019-01-07,30,0.0,8.1,0.0
939,2019-01-07,30,0.0,8.4,0.0
941,2019-01-14,31,0.0,7.4,0.0
942,2019-01-14,31,0.0,8.9,0.0
943,2019-01-14,31,0.0,9.1,0.0
944,2019-01-21,32,0.0,8.0,0.0
945,2019-01-21,32,0.0,8.9,0.0
946,2019-01-21,32,0.0,9.7,0.0
947,2019-01-21,32,0.0,9.0,0.0
948,2019-02-04,34,0.0,8.4,0.0
950,2019-02-04,34,0.0,9.4,0.0
952,2019-02-11,35,0.0,9.1,0.0
953,2019-02-11,35,0.0,9.0,0.0
954,2019-02-11,35,0.0,9.8,0.0
955,2019-02-11,35,0.0,9.1,0.0
956,2019-03-18,40,730.0,6.8,1.46
957,2019-03-18,40,760.0,7.5,1.5
958,2019-03-18,40,710.0,8.5,1.75
959,2019-03-18,40,720.0,8.5,1.6
960,2019-03-25,41,223.0,9.6,1.38
963,2019-03-25,41,209.0,9.8,2.25
964,2019-04-01,42,215.0,9.2,2.35
965,2019-04-01,42,240.0,7.6,2.38
966,2019-04-01,42,210.0,11.1,1.37
967,2019-04-01,42,203.0,10.8,2.38
968,2019-04-08,43,211.0,10.7,3.36
970,2019-04-08,43,176.0,12.3,2.41
971,2019-04-08,43,232.0,10.9,2.33
974,2019-04-15,44,212.0,5.7,4.52
977,2019-04-22,45,257.0,6.7,4.35
978,2019-04-22,45,221.0,5.4,4.4
979,2019-04-22,45,256.0,9.0,5.33
980,2019-04-29,46,0.0,0.0,0.0
981,2019-04-29,46,0.0,0.0,0.0
982,2019-04-29,46,0.0,0.0,0.0
983,2019-04-29,46,0.0,0.0,0.0
984,2022-01-13,1,53.0,2.03,0.0
987,2022-01-13,1,36.0,2.04,0.0
988,2022-01-31,3,117.0,3.49,0.0
989,2022-01-31,3,139.0,5.1,0.0
990,2022-01-31,3,137.0,5.04,0.0
991,2022-01-31,3,134.0,3.9,0.0
992,2022-03-03,7,323.0,10.15,2.2
993,2022-03-03,7,896.0,12.14,2.43
994,2022-03-03,7,346.0,11.01,2.13
995,2022-03-03,7,912.0,11.23,2.13
996,2022-03-31,11,375.0,6.88,5.25
998,2022-03-31,11,453.0,8.13,5.33
999,2022-03-31,11,398.0,8.42,5.4
1001,2018-10-07,10,2360.0,6.72,5.8
1002,2018-10-07,10,1760.0,14.48,4.33
1003,2018-10-07,10,1960.0,11.13,4.33
1004,2018-10-10,11,2005.0,7.5,8.0
1006,2018-10-10,11,1760.0,14.5,4.33
1007,2018-10-10,11,1960.0,11.1,4.33
1008,2018-10-16,12,166.0,12.1,5.5
1012,2018-10-22,13,219.0,7.8,5.66
1013,2018-10-22,13,180.0,6.7,6.33
1017,2018-10-30,14,165.0,8.8,6.33
1018,2018-10-30,14,125.0,11.3,6.67
1019,2018-10-30,14,49.0,6.7,5.22
1020,2018-11-05,15,190.0,8.8,7.71
1022,2018-11-05,15,150.0,7.8,8.17
1023,2018-11-05,15,75.0,8.2,6.38
1024,2018-11-11,15,148.0,6.0,8.75
1025,2018-11-11,15,124.0,8.7,7.17
1028,2018-11-20,17,105.0,9.1,7.33
1029,2018-11-20,17,244.0,7.3,8.5
1032,2018-11-27,18,158.0,8.1,8.75
1034,2018-11-27,18,168.0,9.4,8.25
1035,2018-11-27,18,118.0,9.7,6.0
1036,2018-12-11,20,257.0,10.3,8.38
1037,2018-12-11,20,126.0,9.2,9.83
1038,2018-12-11,20,634.0,11.0,9.83
1039,2018-12-11,20,38.0,8.4,8.5
1040,2018-12-27,22,60.0,9.1,8.3
1041,2018-12-27,22,-35.0,7.6,9.3
1042,2018-12-27,22,390.0,9.3,10.54
1043,2018-12-27,22,-110.0,4.4,7.2
1044,2019-01-01,23,130.0,7.4,10.45
1045,2019-01-01,23,340.0,8.2,11.0
1049,2019-01-08,24,170.0,8.6,11.33
1052,2019-01-16,25,150.0,9.5,12.5
1054,2019-01-16,25,245.0,9.8,13.0
1055,2019-01-16,25,100.0,4.7,9.0
1056,2019-01-23,26,320.0,9.3,13.28
1058,2019-01-23,26,120.0,9.9,13.83
1060,2019-02-06,28,240.0,11.7,12.0
1061,2019-02-06,28,330.0,6.9,13.25
1065,2019-02-14,29,200.0,9.3,14.0
1066,2019-02-14,29,160.0,6.2,14.8
1067,2019-02-14,29,160.0,7.9,13.66
1068,2019-02-20,30,135.0,10.4,14.9
1070,2019-02-20,30,30.0,9.1,15.4
1072,2019-02-25,31,135.0,7.9,14.62
1073,2019-02-25,31,230.0,9.5,15.5
1074,2019-02-25,31,120.0,8.5,14.5
1075,2019-02-25,31,110.0,7.8,16.16
1077,2019-03-07,32,180.0,7.0,15.71
1078,2019-03-07,32,130.0,9.7,15.38
1080,2019-03-13,33,110.0,8.6,15.9
1081,2019-03-13,33,180.0,8.7,15.42
1083,2019-03-13,33,120.0,10.6,15.71
1085,2019-03-20,34,450.0,6.3,16.33
1086,2019-03-20,34,120.0,9.5,16.8
1088,2019-03-28,35,0.0,8.1,15.3
1091,2019-03-28,35,0.0,10.1,16.8
1092,2019-04-04,36,0.0,8.6,15.27
1094,2019-04-04,36,0.0,8.8,16.2
1095,2019-04-04,36,0.0,9.9,16.2
1098,2019-04-09,37,0.0,8.8,16.0
1099,2019-04-09,37,0.0,9.7,16.0
1100,2018-10-07,13,3100.0,8.0,0.0
1101,2018-10-07,13,3300.0,6.2,1.0
1102,2018-10-07,13,3400.0,7.4,0.0
1103,2018-10-07,13,2950.0,6.2,0.1
1104,2018-10-12,14,3100.0,8.0,0.0
1105,2018-10-12,14,3300.0,6.2,1.0
1106,2018-10-12,14,3400.0,7.4,0.0
1107,2018-10-12,14,2950.0,6.2,0.1
1109,2018-10-19,15,0.0,7.1,0.0
1110,2018-10-19,15,0.0,6.8,0.0
1112,2018-10-26,16,0.0,6.3,0.0
1113,2018-10-26,16,0.0,7.1,0.0
1114,2018-10-26,16,0.0,6.2,0.0
1116,2018-11-02,17,0.0,6.2,0.0
1117,2018-11-02,17,0.0,7.1,0.0
1118,2018-11-02,17,0.0,6.4,0.0
1119,2018-11-02,17,0.0,6.9,0.0
1120,2018-11-09,18,0.0,6.4,0.0
1121,2018-11-09,18,0.0,6.8,0.0
1122,2018-11-09,18,0.0,6.5,0.0
1124,2018-11-16,19,0.0,6.5,0.0
1126,2018-11-16,19,0.0,6.5,0.0
1127,2018-11-16,19,0.0,6.5,0.0
1128,2018-11-23,20,0.0,6.2,0.0
1131,2018-11-23,20,0.0,6.2,0.0
1132,2018-11-30,21,0.0,6.2,0.0
1135,2018-11-30,21,0.0,6.2,0.0
1137,2018-12-07,22,0.0,0.0,0.0
1139,2018-12-07,22,0.0,0.0,0.0
1140,2018-12-21,24,210.0,0.0,0.0
1141,2018-12-21,24,190.0,0.0,0.0
1143,2018-12-21,24,200.0,0.0,0.0
1144,2018-12-28,25,0.0,0.0,0.0
1146,2018-12-28,25,0.0,0.0,0.0
1147,2018-12-28,25,0.0,0.0,0.0
1148,2019-01-04,26,340.0,0.0,0.0
1149,2019-01-04,26,330.0,0.0,0.0
1150,2019-01-04,26,300.0,0.0,0.0
1151,2019-01-04,26,280.0,0.0,0.0
1152,2019-01-11,27,450.0,7.5,1.0
1153,2019-01-11,27,510.0,8.1,1.0
1154,2019-01-11,27,350.0,5.1,1.0
1155,2019-01-11,27,430.0,6.0,1.0
1156,2019-02-01,30,130.0,11.0,1.57
1157,2019-02-01,30,175.0,9.6,1.5
1158,2019-02-01,30,120.0,9.5,0.75
1159,2019-02-01,30,115.0,9.4,1.5
1160,2019-02-08,31,210.0,10.9,3.0
1161,2019-02-08,31,190.0,10.4,2.5
1162,2019-02-08,31,240.0,9.6,1.5
1167,2019-02-15,32,210.0,11.3,1.57
1168,2019-03-01,34,200.0,9.5,3.71
1169,2019-03-01,34,170.0,10.8,5.0
1170,2019-03-01,34,185.0,12.0,3.75
1172,2019-03-29,38,80.0,8.0,5.6
1173,2019-03-29,38,110.0,9.8,5.0
1174,2019-03-29,38,145.0,9.9,6.6
1175,2019-03-29,38,150.0,8.1,6.6
1176,2019-04-05,39,121.0,6.3,7.0
1177,2019-04-05,39,83.0,7.0,5.0
1179,2019-04-05,39,150.0,9.1,6.5
1180,2019-04-12,40,2250.0,7.1,7.0
1181,2019-04-12,40,2300.0,4.8,7.0
1182,2019-04-12,40,2450.0,4.7,7.67
1184,2019-04-19,41,40.0,7.2,7.0
1186,2019-04-19,41,60.0,4.9,8.75
1187,2019-04-19,41,60.0,6.5,8.33
1188,2019-04-26,42,64.0,7.7,6.5
1189,2019-04-26,42,108.0,5.2,5.5
1192,2019-05-03,43,63.0,7.9,0.5
1193,2019-05-03,43,48.0,5.6,0.57
1195,2019-05-03,43,12.0,6.6,0.25
1198,2021-12-08,18,0.0,8.98,12.0
1199,2021-12-08,18,0.0,4.94,11.17
1200,2021-12-14,19,240.0,8.53,12.0
1201,2021-12-14,19,420.0,7.07,12.0
1202,2021-12-14,19,510.0,10.37,12.4
1203,2021-12-14,19,240.0,8.08,12.17
1204,2021-12-22,20,40.0,7.29,12.17
1205,2021-12-22,20,350.0,5.39,12.0
1207,2021-12-22,20,410.0,6.72,12.17
1208,2022-01-11,23,230.0,11.96,13.6
1209,2022-01-11,23,130.0,8.64,14.67
1210,2022-01-11,23,190.0,9.73,14.75
1211,2022-01-11,23,160.0,12.22,14.29
1213,2022-01-19,24,200.0,8.96,15.33
1214,2022-01-19,24,250.0,12.36,15.25
1216,2022-01-25,25,150.0,11.77,15.29
1217,2022-01-25,25,290.0,9.64,15.33
1218,2022-01-25,25,160.0,10.99,16.33
1220,2022-02-02,26,400.0,9.54,16.67
1221,2022-02-02,26,60.0,9.27,16.17
1222,2022-02-02,26,270.0,9.31,17.14
1224,2022-02-08,27,70.0,11.7,16.14
1228,2022-02-15,28,240.0,10.84,17.25
1229,2022-02-15,28,220.0,7.13,18.17
1230,2022-02-15,28,230.0,11.51,18.2
1231,2022-02-15,28,210.0,10.07,18.17
1232,2022-02-22,29,240.0,9.29,18.29
1234,2022-02-22,29,260.0,9.94,19.29
1235,2022-02-22,29,240.0,7.36,19.14
1236,2022-03-08,31,90.0,5.27,20.14
1237,2022-03-08,31,85.0,8.45,20.33
1238,2022-03-08,31,105.0,5.71,21.33
1239,2022-03-08,31,110.0,10.85,20.5
1240,2022-03-14,32,140.0,8.78,20.29
1241,2022-03-14,32,195.0,4.79,21.33
1242,2022-03-14,32,180.0,8.52,22.0
1243,2022-03-14,32,135.0,8.38,21.33
1246,2022-04-05,35,290.0,9.42,23.17
1247,2022-04-05,35,190.0,6.79,22.3
1248,2022-04-12,36,300.0,10.41,23.33
1251,2022-04-12,36,390.0,6.11,24.17
1252,2022-04-19,37,270.0,11.22,24.33
1256,2022-04-26,38,200.0,8.79,25.5
1258,2022-04-26,38,260.0,9.47,26.67
1259,2022-04-26,38,230.0,9.58,25.67
1260,2022-05-03,39,255.0,9.35,26.33
1261,2022-05-03,39,0.0,0.0,0.0
1262,2022-05-03,39,245.0,7.94,27.4
1263,2022-05-03,39,230.0,7.67,26.33
1265,2022-05-30,43,180.0,5.28,29.2
1266,2022-05-30,43,60.0,4.21,0.0
1267,2022-05-30,43,50.0,6.55,0.0
1268,2018-09-23,7,1930.0,13.47,3.75
1272,2018-09-24,7,1930.0,13.5,3.75
1273,2018-09-24,7,2110.0,13.9,4.29
1274,2018-09-24,7,2190.0,9.7,4.14
1276,2018-10-01,8,270.0,13.5,5.0
1277,2018-10-01,8,254.0,10.4,5.1
1278,2018-10-01,8,258.0,14.0,5.0
1279,2018-10-01,8,276.0,15.2,5.0
1280,2018-10-08,9,210.0,11.1,6.0
1281,2018-10-08,9,235.0,10.7,6.0
1282,2018-10-08,9,245.0,13.5,6.0
1283,2018-10-08,9,257.0,15.7,6.0
1284,2018-10-15,10,250.0,9.9,6.67
1285,2018-10-15,10,260.0,12.9,7.0
1286,2018-10-15,10,272.0,11.9,7.0
1289,2018-10-22,11,240.0,10.7,8.0
1290,2018-10-22,11,225.0,15.4,7.0
1291,2018-10-22,11,200.0,11.1,7.17
1293,2018-10-29,12,250.0,11.3,8.29
1294,2018-10-29,12,290.0,11.3,7.33
1295,2018-10-29,12,222.0,12.3,8.0
1296,2018-11-05,13,252.0,8.4,9.14
1297,2018-11-05,13,258.0,14.0,8.08
1298,2018-11-05,13,230.0,10.6,8.43
1299,2018-11-05,13,280.0,12.3,8.43
1301,2018-11-12,14,183.0,11.1,10.0
1302,2018-11-12,14,248.0,13.0,9.0
1305,2018-11-19,15,244.0,12.9,10.17
1306,2018-11-19,15,256.0,13.7,9.13
1307,2018-11-19,15,180.0,12.6,9.57
1308,2018-11-26,16,256.0,11.8,10.17
1309,2018-11-26,16,245.0,13.8,11.14
1310,2018-11-26,16,250.0,11.0,10.2
1311,2018-11-26,16,173.0,15.7,10.29
1313,2018-12-03,17,208.0,10.5,12.14
1314,2018-12-03,17,210.0,13.3,10.6
1315,2018-12-03,17,165.0,9.2,11.17
1316,2018-12-10,18,257.0,13.5,11.5
1317,2018-12-10,18,234.0,15.3,12.33
1318,2018-12-10,18,245.0,12.0,11.17
1319,2018-12-10,18,193.0,14.6,11.67
1320,2018-12-17,19,206.0,13.7,12.38
1321,2018-12-17,19,227.0,12.2,13.0
1323,2018-12-17,19,185.0,11.2,12.29
1324,2018-12-24,20,173.0,13.7,13.0
1325,2018-12-24,20,195.0,13.0,14.0
1326,2018-12-24,20,180.0,13.5,12.67
1331,2018-12-31,21,160.0,13.9,13.2
1332,2019-01-07,22,262.0,12.2,14.33
1333,2019-01-07,22,249.0,14.0,15.33
1334,2019-01-07,22,255.0,12.2,14.0
1335,2019-01-07,22,190.0,13.4,14.11
1336,2019-01-14,23,223.0,12.0,15.08
1337,2019-01-14,23,197.0,11.8,16.1
1338,2019-01-14,23,230.0,12.4,14.67
1339,2019-01-14,23,188.0,12.4,15.0
1340,2019-01-21,24,272.0,11.9,16.0
1341,2019-01-21,24,250.0,11.7,17.0
1342,2019-01-21,24,286.0,13.0,16.0
1344,2019-01-28,25,263.0,0.0,0.0
1346,2019-01-28,25,248.0,0.0,0.0
1347,2019-01-28,25,333.0,0.0,0.0
1348,2019-02-04,26,263.0,10.6,17.33
1350,2019-02-04,26,248.0,12.4,17.33
1351,2019-02-04,26,333.0,11.8,17.0
1353,2019-02-11,27,260.0,12.9,19.29
1354,2019-02-11,27,292.0,10.5,18.25
1358,2019-02-18,28,224.0,11.0,19.0
1360,2019-02-25,29,272.0,13.2,20.0
1361,2019-02-25,29,242.0,13.1,21.0
1363,2019-02-25,29,303.0,12.8,20.0
1364,2019-03-04,30,271.0,12.3,21.0
1365,2019-03-04,30,240.0,12.5,21.67
1366,2019-03-04,30,205.0,9.7,20.5
1368,2019-03-11,31,212.0,12.7,21.38
